Source,Sex,age,weight,samples
LL fishery,Male,16,3.2962,360
Pot fishery,Male,16,3.4273,11
LL survey,Combined,16,3.7657,409
LL fishery,Combined,16,4.2227,990
Pot fishery,Combined,16,3.7071,24
LL survey,Female,17,4.6603,173
LL fishery,Female,17,4.979,614
Pot fishery,Female,17,4.888,10
LL survey,Male,17,3.0139,158
LL fishery,Male,17,3.2979,335
Pot fishery,Male,17,2.9688,8
LL survey,Combined,17,3.8744,331
LL fishery,Combined,17,4.3856,949
Pot fishery,Combined,17,4.035,18
LL survey,Female,18,4.6755,141
LL fishery,Female,18,5.163,512
Pot fishery,Female,18,3.85,8
LL survey,Male,18,3.1143,125
LL fishery,Male,18,3.3404,342
Pot fishery,Male,18,3.2838,16
LL survey,Combined,18,3.9419,266
LL fishery,Combined,18,4.4331,854
Pot fishery,Combined,18,3.4725,24
LL survey,Female,19,5.2363,131
LL fishery,Female,19,5.2869,500
Pot fishery,Female,19,4.4208,12
LL survey,Male,19,3.1515,130
LL fishery,Male,19,3.3765,284
Pot fishery,Male,19,3.1557,7
LL survey,Combined,19,4.1979,261
LL fishery,Combined,19,4.5949,784
Pot fishery,Combined,19,3.9547,19
LL survey,Female,20,5.1687,125
LL fishery,Female,20,5.4265,433
Pot fishery,Female,20,5.1027,11
LL survey,Male,20,3.2519,131
LL fishery,Male,20,3.4129,291
Pot fishery,Male,20,3.4467,15
LL survey,Combined,20,4.1879,256
LL fishery,Combined,20,4.6172,724
Pot fishery,Combined,20,4.1473,26
LL survey,Female,21,5.2357,123
LL fishery,Female,21,5.5812,384
Pot fishery,Female,21,4.85,12
LL survey,Male,21,3.1475,123
LL fishery,Male,21,3.4145,294
Pot fishery,Male,21,3.19,5
LL survey,Combined,21,4.1916,246
LL fishery,Combined,21,4.6417,678
Pot fishery,Combined,21,4.3618,17
LL survey,Female,22,5.2728,104
LL fishery,Female,22,5.5665,371
Pot fishery,Female,22,5.6967,12
LL survey,Male,22,3.3117,134
LL fishery,Male,22,3.4948,275
Pot fishery,Male,22,3.2682,11
LL survey,Combined,22,4.1687,238
LL fishery,Combined,22,4.6846,646
Pot fishery,Combined,22,4.5352,23
LL survey,Female,23,5.5123,92
LL fishery,Female,23,5.9307,352
Pot fishery,Female,23,5.3962,13
LL survey,Male,23,3.467,144
LL fishery,Male,23,3.5061,239
Pot fishery,Male,23,4.4333,3
LL survey,Combined,23,4.2643,236
LL fishery,Combined,23,4.9502,591
Pot fishery,Combined,23,5.2156,16
LL survey,Female,24,5.71,85
LL fishery,Female,24,5.7731,300
Pot fishery,Female,24,5.582,5
LL survey,Male,24,3.3303,104
LL fishery,Male,24,3.4599,249
Pot fishery,Male,24,3.33,4
LL survey,Combined,24,4.4005,189
LL fishery,Combined,24,4.7239,549
Pot fishery,Combined,24,4.5811,9
LL survey,Female,25,5.8744,78
LL fishery,Female,25,5.9255,287
Pot fishery,Female,25,6.4,9
LL survey,Male,25,3.467,103
LL fishery,Male,25,3.6125,216
Pot fishery,Male,25,3.6167,3
LL survey,Combined,25,4.5044,181
LL fishery,Combined,25,4.9322,503
Pot fishery,Combined,25,5.7042,12
LL survey,Female,26,6.1955,85
LL fishery,Female,26,5.9038,286
Pot fishery,Female,26,6.8586,7
LL survey,Male,26,3.3721,96
LL fishery,Male,26,3.5946,272
Pot fishery,Male,26,3.1586,7
LL survey,Combined,26,4.698,181
LL fishery,Combined,26,4.7782,558
Pot fishery,Combined,26,5.0086,14
LL survey,Female,27,6.1403,67
LL fishery,Female,27,6.1249,265
Pot fishery,Female,27,5.872,5
LL survey,Male,27,3.3886,76
LL fishery,Male,27,3.6355,266
Pot fishery,Male,27,3.4633,6
LL survey,Combined,27,4.6778,143
LL fishery,Combined,27,4.8778,531
Pot fishery,Combined,27,4.5582,11
LL survey,Female,28,6.4379,66
LL fishery,Female,28,6.2093,275
Pot fishery,Female,28,5.4483,6
LL survey,Male,28,3.3468,77
LL fishery,Male,28,3.6467,258
Pot fishery,Male,28,4.18,2
LL survey,Combined,28,4.7734,143
LL fishery,Combined,28,4.9688,533
Pot fishery,Combined,28,5.1312,8
LL survey,Female,29,5.9902,41
LL fishery,Female,29,6.3511,244
Pot fishery,Female,29,5.67,3
LL survey,Male,29,3.4873,63
LL fishery,Male,29,3.6238,239
Pot fishery,Male,29,4.2,1
LL survey,Combined,29,4.474,104
LL fishery,Combined,29,5.0016,483
Pot fishery,Combined,29,5.3025,4
LL survey,Female,30,6.1419,43
LL fishery,Female,30,6.3178,200
Pot fishery,Female,30,4.725,4
LL survey,Male,30,3.7024,82
LL fishery,Male,30,3.6557,211
Pot fishery,Male,30,3.8357,7
LL survey,Combined,30,4.5416,125
LL fishery,Combined,30,4.9511,411
Pot fishery,Combined,30,4.1591,11
LL survey,Female,31,6.8787,47
LL fishery,Female,31,6.1446,192
Pot fishery,Female,31,5.04,2
LL survey,Male,31,3.4563,59
LL fishery,Male,31,3.6193,226
Pot fishery,Male,31,3.0475,4
LL survey,Combined,31,4.9738,106
LL fishery,Combined,31,4.7793,418
Pot fishery,Combined,31,3.7117,6
